Category: All categories

Month,AP Biology: (United States),Biology: (United States)
2004-01,3,88
2004-02,2,95
2004-03,2,84
2004-04,3,86
2004-05,4,84
2004-06,1,68
2004-07,1,54
2004-08,1,66
2004-09,3,100
2004-10,3,88
2004-11,3,82
2004-12,2,67
2005-01,3,78
2005-02,2,81
2005-03,3,75
2005-04,4,78
2005-05,3,70
2005-06,1,58
2005-07,1,46
2005-08,1,57
2005-09,2,88
2005-10,3,80
2005-11,2,71
2005-12,2,57
2006-01,3,68
2006-02,2,69
2006-03,3,68
2006-04,4,64
2006-05,3,63
2006-06,1,47
2006-07,1,36
2006-08,1,51
2006-09,2,71
2006-10,3,65
2006-11,2,62
2006-12,2,49
2007-01,3,59
2007-02,3,58
2007-03,3,55
2007-04,3,55
2007-05,4,56
2007-06,1,41
2007-07,<1,36
2007-08,1,49
2007-09,2,69
2007-10,3,65
2007-11,3,58
2007-12,2,48
2008-01,2,56
2008-02,2,56
2008-03,2,54
2008-04,3,60
2008-05,3,52
2008-06,1,40
2008-07,1,35
2008-08,1,46
2008-09,2,69
2008-10,3,61
2008-11,2,57
2008-12,2,48
2009-01,2,57
2009-02,2,61
2009-03,3,60
2009-04,3,60
2009-05,4,57
2009-06,1,46
2009-07,1,39
2009-08,1,51
2009-09,3,74
2009-10,3,65
2009-11,3,61
2009-12,2,50
2010-01,3,57
2010-02,2,62
2010-03,3,61
2010-04,4,63
2010-05,4,58
2010-06,1,44
2010-07,1,34
2010-08,1,48
2010-09,2,64
2010-10,3,59
2010-11,3,56
2010-12,2,44
2011-01,3,51
2011-02,3,52
2011-03,3,49
2011-04,4,51
2011-05,4,48
2011-06,1,36
2011-07,1,28
2011-08,1,42
2011-09,3,61
2011-10,3,58
2011-11,3,52
2011-12,3,42
2012-01,3,52
2012-02,3,51
2012-03,3,49
2012-04,4,52
2012-05,5,50
2012-06,1,33
2012-07,1,28
2012-08,2,42
2012-09,3,62
2012-10,3,56
2012-11,3,49
2012-12,3,40
2013-01,3,50
2013-02,3,53
2013-03,3,49
2013-04,4,57
2013-05,5,52
2013-06,1,33
2013-07,1,27
2013-08,2,43
2013-09,3,66
2013-10,3,63
2013-11,3,55
2013-12,3,45
2014-01,3,54
2014-02,3,57
2014-03,4,55
2014-04,4,62
2014-05,5,58
2014-06,1,36
2014-07,1,29
2014-08,2,47
2014-09,3,76
2014-10,4,70
2014-11,3,59
2014-12,3,51
2015-01,3,59
2015-02,3,62
2015-03,4,60
2015-04,4,65
2015-05,5,58
2015-06,1,36
2015-07,1,29
2015-08,2,47
2015-09,4,76
2015-10,4,69
2015-11,4,63
2015-12,3,54
2016-01,4,58
2016-02,4,62
2016-03,4,57
2016-04,5,64
2016-05,5,58
2016-06,1,33
2016-07,1,25
2016-08,2,45
2016-09,3,72
2016-10,4,62
2016-11,3,56
2016-12,3,49
2017-01,4,60
2017-02,4,64
2017-03,4,64
2017-04,5,63
2017-05,5,59
2017-06,1,33
2017-07,1,26
2017-08,2,43
2017-09,3,68
2017-10,3,66
2017-11,3,60
2017-12,3,49
2018-01,3,58
2018-02,4,61
2018-03,4,56
2018-04,4,62
2018-05,6,58
2018-06,1,31
2018-07,1,25
2018-08,2,45
2018-09,3,66
2018-10,3,64
2018-11,3,54
2018-12,3,47
2019-01,3,52
2019-02,3,57
2019-03,3,53
2019-04,4,57
2019-05,5,55
2019-06,1,30
2019-07,1,25
2019-08,1,41
2019-09,3,65
2019-10,3,59
2019-11,2,49
2019-12,2,41
2020-01,2,51
2020-02,2,55
2020-03,1,36
