Category: All categories

Month,AP Calculus: (United States),Calculus: (United States)
2004-01,4,80
2004-02,7,100
2004-03,6,84
2004-04,20,99
2004-05,15,93
2004-06,3,58
2004-07,2,52
2004-08,2,58
2004-09,4,96
2004-10,3,88
2004-11,4,78
2004-12,4,76
2005-01,4,75
2005-02,7,79
2005-03,8,78
2005-04,23,94
2005-05,13,87
2005-06,3,56
2005-07,1,44
2005-08,2,53
2005-09,2,93
2005-10,3,84
2005-11,4,77
2005-12,3,61
2006-01,5,71
2006-02,6,74
2006-03,9,72
2006-04,26,93
2006-05,13,81
2006-06,1,44
2006-07,2,36
2006-08,2,56
2006-09,3,82
2006-10,3,73
2006-11,4,63
2006-12,4,56
2007-01,6,65
2007-02,5,62
2007-03,9,65
2007-04,21,85
2007-05,20,82
2007-06,3,45
2007-07,2,37
2007-08,3,54
2007-09,3,80
2007-10,3,70
2007-11,3,60
2007-12,3,55
2008-01,5,61
2008-02,6,64
2008-03,9,58
2008-04,24,84
2008-05,16,75
2008-06,2,43
2008-07,2,36
2008-08,3,54
2008-09,3,77
2008-10,3,63
2008-11,3,54
2008-12,4,57
2009-01,5,64
2009-02,6,63
2009-03,10,63
2009-04,24,85
2009-05,16,74
2009-06,2,45
2009-07,2,36
2009-08,2,55
2009-09,3,82
2009-10,3,68
2009-11,4,62
2009-12,4,58
2010-01,6,69
2010-02,6,63
2010-03,9,62
2010-04,26,83
2010-05,17,76
2010-06,2,42
2010-07,2,31
2010-08,2,47
2010-09,3,70
2010-10,2,59
2010-11,4,52
2010-12,4,50
2011-01,6,63
2011-02,7,63
2011-03,13,66
2011-04,29,84
2011-05,18,74
2011-06,3,41
2011-07,3,34
2011-08,3,55
2011-09,4,79
2011-10,3,65
2011-11,4,61
2011-12,4,52
2012-01,6,63
2012-02,7,65
2012-03,12,64
2012-04,28,86
2012-05,26,81
2012-06,2,40
2012-07,3,35
2012-08,3,56
2012-09,4,76
2012-10,4,64
2012-11,4,57
2012-12,5,55
2013-01,7,63
2013-02,8,66
2013-03,12,63
2013-04,31,93
2013-05,26,86
2013-06,3,39
2013-07,2,34
2013-08,3,54
2013-09,5,77
2013-10,5,69
2013-11,5,60
2013-12,6,58
2014-01,7,66
2014-02,9,69
2014-03,13,67
2014-04,32,96
2014-05,24,86
2014-06,3,41
2014-07,2,34
2014-08,4,56
2014-09,5,84
2014-10,5,71
2014-11,6,62
2014-12,6,61
2015-01,8,67
2015-02,9,69
2015-03,16,72
2015-04,33,98
2015-05,21,80
2015-06,2,39
2015-07,3,34
2015-08,4,55
2015-09,6,86
2015-10,6,75
2015-11,6,68
2015-12,7,65
2016-01,9,67
2016-02,11,75
2016-03,15,71
2016-04,33,98
2016-05,21,77
2016-06,3,38
2016-07,2,29
2016-08,4,54
2016-09,6,77
2016-10,5,65
2016-11,6,62
2016-12,6,57
2017-01,8,65
2017-02,9,71
2017-03,16,71
2017-04,29,90
2017-05,26,82
2017-06,3,34
2017-07,2,30
2017-08,4,50
2017-09,5,68
2017-10,6,63
2017-11,6,59
2017-12,7,53
2018-01,8,57
2018-02,10,64
2018-03,13,58
2018-04,25,80
2018-05,29,81
2018-06,2,34
2018-07,2,28
2018-08,4,49
2018-09,5,63
2018-10,5,57
2018-11,6,55
2018-12,7,59
2019-01,8,53
2019-02,8,56
2019-03,12,54
2019-04,23,71
2019-05,26,71
2019-06,2,29
2019-07,2,26
2019-08,4,42
2019-09,5,58
2019-10,5,55
2019-11,5,47
2019-12,5,44
2020-01,7,47
2020-02,8,52
2020-03,5,37
