Category: All categories

Month,AP Chemistry: (United States),Chemistry: (United States)
2004-01,1,89
2004-02,1,96
2004-03,1,87
2004-04,2,91
2004-05,2,88
2004-06,1,69
2004-07,<1,55
2004-08,<1,65
2004-09,1,98
2004-10,1,100
2004-11,1,88
2004-12,1,75
2005-01,1,81
2005-02,1,85
2005-03,1,78
2005-04,2,81
2005-05,2,77
2005-06,<1,62
2005-07,<1,49
2005-08,1,58
2005-09,1,89
2005-10,1,88
2005-11,1,78
2005-12,1,64
2006-01,1,72
2006-02,1,77
2006-03,1,71
2006-04,2,70
2006-05,2,69
2006-06,<1,52
2006-07,<1,40
2006-08,1,52
2006-09,1,76
2006-10,1,75
2006-11,1,64
2006-12,1,53
2007-01,1,61
2007-02,1,63
2007-03,1,59
2007-04,2,58
2007-05,3,63
2007-06,<1,49
2007-07,<1,39
2007-08,1,48
2007-09,1,74
2007-10,1,75
2007-11,1,65
2007-12,1,54
2008-01,1,63
2008-02,1,67
2008-03,1,59
2008-04,2,66
2008-05,2,62
2008-06,<1,52
2008-07,<1,42
2008-08,<1,51
2008-09,1,78
2008-10,1,76
2008-11,1,68
2008-12,1,57
2009-01,1,63
2009-02,1,75
2009-03,1,71
2009-04,2,69
2009-05,2,68
2009-06,<1,58
2009-07,<1,45
2009-08,1,59
2009-09,1,88
2009-10,1,85
2009-11,1,75
2009-12,1,62
2010-01,1,68
2010-02,1,77
2010-03,1,76
2010-04,2,76
2010-05,2,72
2010-06,<1,60
2010-07,<1,42
2010-08,<1,57
2010-09,1,81
2010-10,1,79
2010-11,1,72
2010-12,1,56
2011-01,1,57
2011-02,1,60
2011-03,1,57
2011-04,3,57
2011-05,2,54
2011-06,<1,42
2011-07,<1,33
2011-08,1,43
2011-09,1,71
2011-10,1,69
2011-11,1,60
2011-12,1,49
2012-01,1,57
2012-02,1,62
2012-03,2,58
2012-04,3,57
2012-05,3,56
2012-06,<1,41
2012-07,<1,32
2012-08,1,43
2012-09,1,72
2012-10,1,67
2012-11,1,59
2012-12,1,50
2013-01,1,58
2013-02,2,63
2013-03,2,57
2013-04,4,65
2013-05,3,60
2013-06,1,40
2013-07,1,31
2013-08,1,46
2013-09,1,77
2013-10,1,74
2013-11,1,63
2013-12,1,54
2014-01,2,60
2014-02,2,66
2014-03,2,60
2014-04,3,66
2014-05,3,63
2014-06,1,44
2014-07,1,33
2014-08,1,47
2014-09,2,83
2014-10,1,78
2014-11,1,65
2014-12,1,59
2015-01,2,64
2015-02,2,69
2015-03,2,66
2015-04,4,68
2015-05,3,61
2015-06,1,44
2015-07,1,31
2015-08,1,47
2015-09,2,83
2015-10,1,79
2015-11,1,71
2015-12,1,61
2016-01,2,58
2016-02,2,67
2016-03,2,58
2016-04,4,64
2016-05,3,58
2016-06,<1,38
2016-07,<1,25
2016-08,1,43
2016-09,2,74
2016-10,1,68
2016-11,1,59
2016-12,1,53
2017-01,2,58
2017-02,2,64
2017-03,2,60
2017-04,5,61
2017-05,2,55
2017-06,<1,35
2017-07,<1,26
2017-08,1,41
2017-09,1,66
2017-10,1,67
2017-11,1,60
2017-12,1,50
2018-01,2,54
2018-02,2,61
2018-03,2,52
2018-04,3,56
2018-05,4,55
2018-06,<1,32
2018-07,<1,24
2018-08,1,42
2018-09,1,64
2018-10,1,63
2018-11,1,53
2018-12,1,46
2019-01,2,51
2019-02,2,53
2019-03,2,47
2019-04,3,51
2019-05,3,50
2019-06,<1,31
2019-07,<1,22
2019-08,1,37
2019-09,1,63
2019-10,1,60
2019-11,1,48
2019-12,1,42
2020-01,1,47
2020-02,1,53
2020-03,1,31
