Category: All categories

Month,AP English Language and Composition: (United States),English Language and Composition: (United States)
2004-01,25,0
2004-02,20,2
2004-03,21,2
2004-04,39,5
2004-05,41,4
2004-06,12,2
2004-07,11,0
2004-08,14,2
2004-09,16,1
2004-10,13,0
2004-11,12,2
2004-12,8,1
2005-01,14,3
2005-02,15,0
2005-03,19,2
2005-04,38,2
2005-05,41,2
2005-06,10,1
2005-07,9,3
2005-08,17,1
2005-09,20,2
2005-10,9,1
2005-11,14,0
2005-12,16,2
2006-01,20,2
2006-02,11,3
2006-03,22,1
2006-04,44,6
2006-05,29,2
2006-06,10,2
2006-07,9,1
2006-08,13,1
2006-09,14,1
2006-10,8,1
2006-11,14,1
2006-12,15,1
2007-01,19,2
2007-02,16,1
2007-03,14,1
2007-04,24,1
2007-05,45,4
2007-06,8,0
2007-07,10,1
2007-08,15,1
2007-09,16,<1
2007-10,12,1
2007-11,12,1
2007-12,11,1
2008-01,18,1
2008-02,14,1
2008-03,16,1
2008-04,24,3
2008-05,39,2
2008-06,9,<1
2008-07,7,<1
2008-08,11,2
2008-09,16,1
2008-10,11,1
2008-11,10,1
2008-12,12,1
2009-01,18,1
2009-02,18,2
2009-03,19,2
2009-04,28,3
2009-05,49,4
2009-06,11,1
2009-07,10,1
2009-08,15,1
2009-09,18,1
2009-10,15,2
2009-11,15,1
2009-12,13,2
2010-01,21,3
2010-02,19,2
2010-03,20,2
2010-04,34,4
2010-05,45,9
2010-06,8,1
2010-07,6,1
2010-08,11,2
2010-09,14,2
2010-10,15,1
2010-11,14,1
2010-12,14,1
2011-01,24,3
2011-02,19,2
2011-03,23,3
2011-04,35,5
2011-05,55,5
2011-06,12,1
2011-07,10,1
2011-08,15,2
2011-09,20,2
2011-10,21,2
2011-11,19,1
2011-12,18,2
2012-01,24,4
2012-02,23,4
2012-03,26,3
2012-04,35,6
2012-05,65,9
2012-06,9,1
2012-07,10,1
2012-08,16,1
2012-09,23,2
2012-10,21,2
2012-11,22,3
2012-12,21,2
2013-01,27,4
2013-02,27,4
2013-03,28,3
2013-04,49,8
2013-05,74,11
2013-06,11,1
2013-07,13,1
2013-08,20,2
2013-09,24,2
2013-10,25,2
2013-11,22,3
2013-12,26,2
2014-01,28,3
2014-02,32,4
2014-03,33,6
2014-04,58,10
2014-05,80,13
2014-06,11,1
2014-07,10,1
2014-08,21,2
2014-09,28,3
2014-10,29,3
2014-11,24,3
2014-12,27,3
2015-01,34,5
2015-02,34,4
2015-03,38,5
2015-04,55,9
2015-05,78,12
2015-06,12,2
2015-07,12,2
2015-08,19,2
2015-09,29,3
2015-10,30,4
2015-11,28,3
2015-12,28,3
2016-01,37,4
2016-02,34,5
2016-03,42,5
2016-04,60,10
2016-05,76,11
2016-06,10,1
2016-07,12,1
2016-08,22,2
2016-09,33,3
2016-10,27,4
2016-11,27,4
2016-12,28,3
2017-01,39,5
2017-02,38,4
2017-03,47,6
2017-04,62,10
2017-05,87,11
2017-06,10,1
2017-07,13,2
2017-08,22,3
2017-09,28,3
2017-10,31,4
2017-11,29,4
2017-12,33,4
2018-01,37,5
2018-02,38,5
2018-03,42,6
2018-04,56,9
2018-05,99,12
2018-06,11,1
2018-07,12,1
2018-08,22,2
2018-09,31,4
2018-10,33,3
2018-11,28,4
2018-12,32,3
2019-01,38,4
2019-02,40,5
2019-03,40,5
2019-04,58,8
2019-05,100,9
2019-06,11,1
2019-07,13,1
2019-08,22,2
2019-09,31,3
2019-10,30,3
2019-11,27,3
2019-12,26,3
2020-01,32,3
2020-02,35,3
2020-03,32,3
