Category: All categories

Month,AP European History: (United States),European History: (United States)
2004-01,38,90
2004-02,27,81
2004-03,23,67
2004-04,41,89
2004-05,48,100
2004-06,7,30
2004-07,5,25
2004-08,13,45
2004-09,22,66
2004-10,22,67
2004-11,21,66
2004-12,20,58
2005-01,24,62
2005-02,21,57
2005-03,16,55
2005-04,39,85
2005-05,46,80
2005-06,7,29
2005-07,4,20
2005-08,10,33
2005-09,18,49
2005-10,20,52
2005-11,17,47
2005-12,17,47
2006-01,22,50
2006-02,15,51
2006-03,19,49
2006-04,30,54
2006-05,40,62
2006-06,5,25
2006-07,6,17
2006-08,10,23
2006-09,18,37
2006-10,19,45
2006-11,17,35
2006-12,17,31
2007-01,18,34
2007-02,13,32
2007-03,15,37
2007-04,22,39
2007-05,45,56
2007-06,5,17
2007-07,4,15
2007-08,9,22
2007-09,15,29
2007-10,18,34
2007-11,15,36
2007-12,15,31
2008-01,19,30
2008-02,14,31
2008-03,14,30
2008-04,25,39
2008-05,41,46
2008-06,5,18
2008-07,5,12
2008-08,10,19
2008-09,18,29
2008-10,15,30
2008-11,14,26
2008-12,12,26
2009-01,16,27
2009-02,16,31
2009-03,17,30
2009-04,26,36
2009-05,42,48
2009-06,6,15
2009-07,5,11
2009-08,8,16
2009-09,16,29
2009-10,16,30
2009-11,14,31
2009-12,12,24
2010-01,18,27
2010-02,15,29
2010-03,17,30
2010-04,26,35
2010-05,38,42
2010-06,5,15
2010-07,5,11
2010-08,7,14
2010-09,13,23
2010-10,14,24
2010-11,12,23
2010-12,13,20
2011-01,18,26
2011-02,16,27
2011-03,18,25
2011-04,31,32
2011-05,38,35
2011-06,5,13
2011-07,6,11
2011-08,8,15
2011-09,17,24
2011-10,18,26
2011-11,17,23
2011-12,16,22
2012-01,20,25
2012-02,18,23
2012-03,19,22
2012-04,26,28
2012-05,45,35
2012-06,5,11
2012-07,6,11
2012-08,10,15
2012-09,19,24
2012-10,19,21
2012-11,17,20
2012-12,18,21
2013-01,23,21
2013-02,23,23
2013-03,21,24
2013-04,30,26
2013-05,52,38
2013-06,5,11
2013-07,6,9
2013-08,9,13
2013-09,21,25
2013-10,27,26
2013-11,24,22
2013-12,23,20
2014-01,29,23
2014-02,32,24
2014-03,31,23
2014-04,37,25
2014-05,64,36
2014-06,6,11
2014-07,6,11
2014-08,13,15
2014-09,28,24
2014-10,30,24
2014-11,29,20
2014-12,28,19
2015-01,34,22
2015-02,34,23
2015-03,37,23
2015-04,47,26
2015-05,56,31
2015-06,7,11
2015-07,7,10
2015-08,14,14
2015-09,26,24
2015-10,31,24
2015-11,30,19
2015-12,27,21
2016-01,35,23
2016-02,38,23
2016-03,35,21
2016-04,50,25
2016-05,45,28
2016-06,6,14
2016-07,7,10
2016-08,14,13
2016-09,28,22
2016-10,30,19
2016-11,28,18
2016-12,28,19
2017-01,33,20
2017-02,32,23
2017-03,34,21
2017-04,38,23
2017-05,61,30
2017-06,6,9
2017-07,6,12
2017-08,12,19
2017-09,23,21
2017-10,30,21
2017-11,27,19
2017-12,25,17
2018-01,28,18
2018-02,31,20
2018-03,29,19
2018-04,34,20
2018-05,62,27
2018-06,6,10
2018-07,6,9
2018-08,13,13
2018-09,22,19
2018-10,27,19
2018-11,23,18
2018-12,23,16
2019-01,26,18
2019-02,29,20
2019-03,28,17
2019-04,39,20
2019-05,53,22
2019-06,4,9
2019-07,5,7
2019-08,10,12
2019-09,20,19
2019-10,22,19
2019-11,17,16
2019-12,16,15
2020-01,18,16
2020-02,20,18
2020-03,13,10
