Category: All categories,,
,,
Month,AP Human Geography: (United States),Human Geography: (United States)
2004-01,0,5
2004-02,5,8
2004-03,2,8
2004-04,2,13
2004-05,3,10
2004-06,1,4
2004-07,0,2
2004-08,3,5
2004-09,1,8
2004-10,1,9
2004-11,0,7
2004-12,2,10
2005-01,2,9
2005-02,2,11
2005-03,1,4
2005-04,4,11
2005-05,4,9
2005-06,2,4
2005-07,2,5
2005-08,1,9
2005-09,3,10
2005-10,1,6
2005-11,2,4
2005-12,2,5
2006-01,2,8
2006-02,4,9
2006-03,3,9
2006-04,5,10
2006-05,2,6
2006-06,0,3
2006-07,1,2
2006-08,1,7
2006-09,3,15
2006-10,1,6
2006-11,1,9
2006-12,2,7
2007-01,3,7
2007-02,1,7
2007-03,2,7
2007-04,4,7
2007-05,4,9
2007-06,<1,2
2007-07,<1,2
2007-08,2,7
2007-09,4,14
2007-10,3,10
2007-11,2,8
2007-12,3,10
2008-01,3,10
2008-02,4,12
2008-03,4,7
2008-04,5,12
2008-05,10,15
2008-06,1,4
2008-07,1,3
2008-08,2,8
2008-09,3,15
2008-10,4,12
2008-11,3,11
2008-12,3,8
2009-01,4,9
2009-02,4,11
2009-03,5,10
2009-04,5,12
2009-05,13,19
2009-06,1,5
2009-07,2,4
2009-08,4,9
2009-09,4,19
2009-10,5,13
2009-11,5,11
2009-12,4,10
2010-01,6,12
2010-02,5,14
2010-03,7,12
2010-04,7,14
2010-05,12,18
2010-06,2,6
2010-07,2,3
2010-08,4,10
2010-09,5,15
2010-10,4,9
2010-11,4,10
2010-12,4,9
2011-01,7,13
2011-02,9,15
2011-03,10,13
2011-04,13,18
2011-05,17,22
2011-06,3,6
2011-07,2,5
2011-08,5,15
2011-09,7,23
2011-10,7,17
2011-11,8,15
2011-12,7,12
2012-01,9,17
2012-02,10,18
2012-03,13,16
2012-04,16,20
2012-05,26,32
2012-06,3,6
2012-07,3,6
2012-08,6,16
2012-09,11,29
2012-10,13,23
2012-11,10,16
2012-12,10,15
2013-01,14,20
2013-02,18,22
2013-03,16,19
2013-04,25,30
2013-05,35,39
2013-06,3,6
2013-07,4,6
2013-08,9,19
2013-09,17,39
2013-10,18,28
2013-11,18,23
2013-12,18,23
2014-01,19,26
2014-02,28,33
2014-03,26,30
2014-04,42,44
2014-05,50,50
2014-06,4,8
2014-07,5,7
2014-08,13,26
2014-09,23,43
2014-10,25,33
2014-11,26,31
2014-12,26,30
2015-01,31,34
2015-02,34,38
2015-03,40,40
2015-04,49,46
2015-05,59,55
2015-06,6,10
2015-07,6,8
2015-08,15,27
2015-09,34,56
2015-10,32,43
2015-11,32,34
2015-12,35,37
2016-01,41,44
2016-02,50,48
2016-03,51,47
2016-04,69,59
2016-05,72,64
2016-06,6,8
2016-07,5,6
2016-08,20,34
2016-09,38,56
2016-10,39,46
2016-11,37,38
2016-12,36,36
2017-01,47,47
2017-02,53,53
2017-03,56,50
2017-04,69,59
2017-05,80,70
2017-06,7,9
2017-07,7,9
2017-08,22,33
2017-09,38,57
2017-10,43,49
2017-11,42,44
2017-12,42,41
2018-01,46,48
2018-02,53,50
2018-03,56,48
2018-04,72,61
2018-05,100,80
2018-06,6,9
2018-07,7,7
2018-08,25,38
2018-09,44,62
2018-10,42,49
2018-11,40,41
2018-12,43,41
2019-01,44,45
2019-02,54,49
2019-03,53,43
2019-04,72,58
2019-05,91,70
2019-06,7,8
2019-07,8,9
2019-08,21,34
2019-09,42,59
2019-10,38,43
2019-11,37,37
2019-12,37,38
2020-01,45,45
2020-02,48,46
2020-03,40,37
