Category: All categories

Month,AP Macroeconomics: (United States),Macroeconomics: (United States)
2004-01,9,74
2004-02,12,79
2004-03,8,84
2004-04,12,97
2004-05,23,98
2004-06,4,49
2004-07,4,40
2004-08,2,54
2004-09,4,72
2004-10,4,68
2004-11,5,80
2004-12,6,74
2005-01,9,74
2005-02,8,75
2005-03,5,65
2005-04,7,67
2005-05,20,69
2005-06,7,44
2005-07,2,45
2005-08,4,52
2005-09,4,57
2005-10,4,56
2005-11,8,58
2005-12,6,62
2006-01,9,61
2006-02,8,65
2006-03,11,64
2006-04,12,70
2006-05,18,65
2006-06,3,47
2006-07,3,33
2006-08,3,45
2006-09,7,71
2006-10,6,55
2006-11,7,52
2006-12,9,54
2007-01,9,64
2007-02,5,61
2007-03,6,52
2007-04,8,60
2007-05,24,59
2007-06,2,33
2007-07,3,33
2007-08,4,52
2007-09,6,60
2007-10,4,61
2007-11,5,56
2007-12,8,49
2008-01,10,69
2008-02,8,61
2008-03,8,56
2008-04,14,64
2008-05,24,66
2008-06,3,37
2008-07,3,35
2008-08,4,46
2008-09,4,73
2008-10,5,60
2008-11,5,60
2008-12,8,58
2009-01,10,81
2009-02,10,70
2009-03,11,56
2009-04,15,69
2009-05,27,71
2009-06,3,42
2009-07,2,38
2009-08,4,53
2009-09,7,82
2009-10,6,69
2009-11,6,68
2009-12,8,71
2010-01,11,86
2010-02,8,75
2010-03,11,70
2010-04,20,77
2010-05,33,79
2010-06,3,42
2010-07,2,31
2010-08,4,50
2010-09,6,71
2010-10,7,63
2010-11,7,62
2010-12,9,54
2011-01,14,80
2011-02,13,74
2011-03,12,64
2011-04,20,76
2011-05,35,77
2011-06,4,44
2011-07,4,33
2011-08,7,61
2011-09,10,74
2011-10,9,72
2011-11,12,72
2011-12,13,62
2012-01,16,85
2012-02,15,86
2012-03,18,78
2012-04,25,82
2012-05,49,86
2012-06,4,40
2012-07,3,34
2012-08,7,56
2012-09,11,81
2012-10,10,69
2012-11,11,66
2012-12,14,64
2013-01,18,91
2013-02,17,85
2013-03,18,68
2013-04,33,94
2013-05,50,91
2013-06,5,38
2013-07,4,33
2013-08,8,56
2013-09,14,84
2013-10,16,76
2013-11,15,70
2013-12,19,72
2014-01,20,88
2014-02,19,95
2014-03,26,79
2014-04,35,97
2014-05,58,93
2014-06,5,38
2014-07,4,35
2014-08,8,55
2014-09,18,92
2014-10,17,74
2014-11,18,68
2014-12,19,65
2015-01,21,93
2015-02,22,95
2015-03,27,87
2015-04,40,97
2015-05,63,98
2015-06,5,37
2015-07,4,33
2015-08,10,59
2015-09,17,96
2015-10,18,80
2015-11,17,71
2015-12,22,72
2016-01,26,89
2016-02,28,100
2016-03,32,85
2016-04,42,96
2016-05,64,99
2016-06,5,34
2016-07,4,26
2016-08,9,55
2016-09,18,84
2016-10,16,68
2016-11,19,67
2016-12,21,62
2017-01,26,85
2017-02,27,93
2017-03,32,81
2017-04,41,82
2017-05,67,92
2017-06,4,32
2017-07,4,24
2017-08,10,51
2017-09,18,73
2017-10,21,70
2017-11,21,62
2017-12,22,60
2018-01,25,80
2018-02,27,80
2018-03,28,68
2018-04,39,79
2018-05,80,89
2018-06,4,27
2018-07,4,24
2018-08,9,44
2018-09,18,68
2018-10,17,61
2018-11,18,49
2018-12,22,51
2019-01,23,68
2019-02,25,73
2019-03,24,60
2019-04,36,71
2019-05,72,79
2019-06,5,29
2019-07,4,24
2019-08,10,45
2019-09,17,68
2019-10,18,59
2019-11,15,47
2019-12,16,47
2020-01,20,63
2020-02,23,67
2020-03,9,33
