Category: All categories

Month,AP Microeconomics: (United States),Microeconomics: (United States)
2004-01,4,60
2004-02,8,51
2004-03,0,45
2004-04,4,42
2004-05,9,75
2004-06,0,25
2004-07,0,24
2004-08,0,48
2004-09,3,56
2004-10,3,67
2004-11,0,53
2004-12,0,70
2005-01,4,53
2005-02,6,74
2005-03,4,54
2005-04,8,66
2005-05,5,55
2005-06,0,35
2005-07,0,30
2005-08,0,39
2005-09,0,81
2005-10,2,69
2005-11,0,60
2005-12,4,58
2006-01,3,54
2006-02,4,54
2006-03,2,39
2006-04,3,40
2006-05,5,47
2006-06,0,21
2006-07,0,31
2006-08,3,49
2006-09,0,72
2006-10,3,44
2006-11,3,55
2006-12,4,54
2007-01,4,56
2007-02,1,55
2007-03,1,44
2007-04,3,49
2007-05,9,54
2007-06,0,32
2007-07,0,36
2007-08,2,46
2007-09,0,64
2007-10,2,56
2007-11,2,55
2007-12,2,56
2008-01,5,64
2008-02,1,56
2008-03,3,49
2008-04,3,48
2008-05,8,48
2008-06,1,31
2008-07,0,29
2008-08,0,52
2008-09,1,73
2008-10,2,60
2008-11,2,45
2008-12,7,51
2009-01,4,80
2009-02,4,54
2009-03,3,60
2009-04,5,47
2009-05,12,65
2009-06,1,40
2009-07,1,34
2009-08,2,55
2009-09,1,86
2009-10,3,62
2009-11,3,63
2009-12,3,57
2010-01,5,75
2010-02,2,59
2010-03,3,53
2010-04,6,60
2010-05,12,60
2010-06,1,30
2010-07,2,29
2010-08,1,51
2010-09,2,69
2010-10,1,53
2010-11,2,57
2010-12,4,48
2011-01,5,71
2011-02,3,68
2011-03,4,48
2011-04,8,66
2011-05,13,62
2011-06,1,43
2011-07,1,33
2011-08,2,64
2011-09,2,83
2011-10,3,62
2011-11,4,57
2011-12,4,50
2012-01,7,76
2012-02,4,61
2012-03,6,55
2012-04,10,58
2012-05,23,72
2012-06,1,34
2012-07,1,29
2012-08,2,60
2012-09,4,78
2012-10,5,67
2012-11,6,58
2012-12,7,61
2013-01,6,79
2013-02,6,70
2013-03,5,50
2013-04,12,61
2013-05,23,64
2013-06,1,36
2013-07,2,35
2013-08,3,56
2013-09,4,91
2013-10,5,73
2013-11,6,61
2013-12,9,57
2014-01,9,80
2014-02,6,77
2014-03,5,60
2014-04,13,69
2014-05,27,73
2014-06,2,38
2014-07,1,32
2014-08,2,58
2014-09,4,97
2014-10,4,79
2014-11,9,62
2014-12,10,65
2015-01,8,85
2015-02,8,78
2015-03,10,70
2015-04,13,66
2015-05,28,76
2015-06,2,34
2015-07,1,29
2015-08,3,58
2015-09,5,100
2015-10,7,74
2015-11,8,71
2015-12,9,66
2016-01,10,79
2016-02,6,73
2016-03,11,62
2016-04,15,70
2016-05,28,69
2016-06,1,31
2016-07,2,29
2016-08,4,60
2016-09,6,86
2016-10,7,61
2016-11,8,61
2016-12,10,59
2017-01,11,76
2017-02,9,69
2017-03,12,61
2017-04,14,60
2017-05,29,69
2017-06,1,27
2017-07,2,22
2017-08,4,49
2017-09,7,73
2017-10,8,64
2017-11,12,56
2017-12,14,61
2018-01,11,75
2018-02,8,68
2018-03,9,47
2018-04,12,57
2018-05,32,67
2018-06,2,25
2018-07,1,20
2018-08,3,48
2018-09,7,70
2018-10,9,62
2018-11,8,48
2018-12,11,52
2019-01,10,64
2019-02,8,60
2019-03,8,45
2019-04,11,48
2019-05,32,55
2019-06,2,23
2019-07,2,20
2019-08,3,47
2019-09,7,68
2019-10,8,58
2019-11,9,46
2019-12,10,46
2020-01,10,62
2020-02,8,50
2020-03,7,37
