Category: All categories

Month,AP Music Theory: (United States),Music Theory: (United States)
2004-01,2,89
2004-02,2,77
2004-03,2,91
2004-04,4,82
2004-05,2,87
2004-06,0,62
2004-07,2,73
2004-08,4,71
2004-09,3,100
2004-10,1,87
2004-11,2,76
2004-12,1,86
2005-01,2,96
2005-02,3,90
2005-03,3,86
2005-04,3,88
2005-05,4,79
2005-06,1,68
2005-07,2,76
2005-08,3,74
2005-09,1,97
2005-10,3,80
2005-11,2,74
2005-12,1,78
2006-01,3,85
2006-02,2,81
2006-03,3,84
2006-04,3,69
2006-05,7,61
2006-06,1,58
2006-07,2,49
2006-08,1,65
2006-09,3,74
2006-10,1,69
2006-11,2,74
2006-12,1,61
2007-01,4,73
2007-02,3,65
2007-03,3,66
2007-04,5,69
2007-05,7,62
2007-06,2,46
2007-07,2,41
2007-08,3,57
2007-09,1,70
2007-10,1,61
2007-11,2,59
2007-12,2,63
2008-01,2,57
2008-02,2,57
2008-03,3,58
2008-04,3,60
2008-05,7,64
2008-06,2,50
2008-07,1,45
2008-08,1,50
2008-09,3,57
2008-10,1,59
2008-11,2,58
2008-12,2,58
2009-01,2,65
2009-02,3,65
2009-03,3,60
2009-04,3,57
2009-05,9,59
2009-06,3,49
2009-07,1,45
2009-08,1,54
2009-09,2,65
2009-10,1,59
2009-11,1,57
2009-12,2,55
2010-01,3,69
2010-02,4,61
2010-03,2,56
2010-04,4,57
2010-05,7,59
2010-06,2,42
2010-07,1,36
2010-08,2,45
2010-09,2,54
2010-10,1,54
2010-11,1,54
2010-12,1,45
2011-01,2,56
2011-02,2,56
2011-03,3,51
2011-04,5,53
2011-05,7,51
2011-06,1,41
2011-07,2,38
2011-08,2,46
2011-09,3,59
2011-10,2,57
2011-11,1,54
2011-12,1,48
2012-01,2,53
2012-02,3,55
2012-03,4,52
2012-04,3,51
2012-05,9,54
2012-06,2,39
2012-07,2,34
2012-08,2,43
2012-09,3,51
2012-10,2,47
2012-11,1,47
2012-12,2,47
2013-01,3,49
2013-02,4,49
2013-03,2,42
2013-04,4,47
2013-05,7,47
2013-06,1,31
2013-07,2,33
2013-08,3,43
2013-09,3,54
2013-10,1,47
2013-11,1,47
2013-12,2,45
2014-01,2,51
2014-02,3,48
2014-03,3,46
2014-04,4,47
2014-05,9,49
2014-06,2,33
2014-07,2,32
2014-08,2,43
2014-09,2,54
2014-10,2,48
2014-11,3,45
2014-12,2,43
2015-01,4,52
2015-02,4,52
2015-03,5,49
2015-04,6,50
2015-05,9,46
2015-06,2,32
2015-07,3,29
2015-08,2,43
2015-09,2,54
2015-10,3,52
2015-11,2,48
2015-12,2,42
2016-01,3,46
2016-02,3,48
2016-03,4,42
2016-04,5,44
2016-05,7,42
2016-06,1,26
2016-07,1,27
2016-08,2,36
2016-09,2,46
2016-10,2,41
2016-11,1,38
2016-12,1,37
2017-01,3,46
2017-02,3,48
2017-03,4,47
2017-04,5,43
2017-05,8,44
2017-06,2,29
2017-07,2,26
2017-08,2,36
2017-09,2,47
2017-10,2,47
2017-11,3,42
2017-12,3,40
2018-01,3,45
2018-02,3,47
2018-03,3,39
2018-04,5,44
2018-05,7,45
2018-06,1,26
2018-07,2,26
2018-08,2,35
2018-09,2,45
2018-10,2,42
2018-11,2,41
2018-12,2,39
2019-01,3,44
2019-02,3,44
2019-03,3,39
2019-04,5,41
2019-05,9,43
2019-06,2,28
2019-07,1,26
2019-08,3,38
2019-09,2,47
2019-10,2,43
2019-11,2,40
2019-12,1,37
2020-01,3,41
2020-02,3,43
2020-03,5,36
