Category: All categories

Month,AP Physics: (United States),Physics: (United States)
2004-01,1,97
2004-02,1,100
2004-03,1,91
2004-04,2,93
2004-05,2,91
2004-06,<1,70
2004-07,<1,57
2004-08,<1,65
2004-09,1,97
2004-10,1,98
2004-11,1,92
2004-12,1,81
2005-01,1,84
2005-02,1,92
2005-03,1,80
2005-04,2,82
2005-05,2,83
2005-06,<1,65
2005-07,<1,50
2005-08,1,60
2005-09,1,88
2005-10,1,85
2005-11,1,79
2005-12,1,67
2006-01,1,77
2006-02,1,79
2006-03,1,74
2006-04,2,68
2006-05,2,72
2006-06,<1,51
2006-07,<1,41
2006-08,<1,51
2006-09,1,76
2006-10,1,73
2006-11,1,66
2006-12,1,59
2007-01,1,64
2007-02,1,64
2007-03,1,60
2007-04,1,59
2007-05,2,62
2007-06,<1,46
2007-07,<1,39
2007-08,<1,48
2007-09,1,72
2007-10,1,73
2007-11,1,65
2007-12,1,58
2008-01,1,65
2008-02,1,67
2008-03,1,61
2008-04,2,68
2008-05,2,63
2008-06,<1,50
2008-07,<1,41
2008-08,<1,52
2008-09,1,80
2008-10,1,76
2008-11,1,72
2008-12,1,59
2009-01,1,67
2009-02,1,75
2009-03,1,73
2009-04,2,74
2009-05,2,72
2009-06,<1,57
2009-07,<1,46
2009-08,<1,60
2009-09,1,92
2009-10,1,92
2009-11,1,87
2009-12,1,72
2010-01,1,79
2010-02,1,91
2010-03,1,89
2010-04,2,90
2010-05,2,91
2010-06,<1,66
2010-07,<1,46
2010-08,<1,60
2010-09,1,91
2010-10,1,92
2010-11,1,89
2010-12,1,72
2011-01,1,71
2011-02,1,73
2011-03,1,71
2011-04,2,72
2011-05,2,72
2011-06,<1,49
2011-07,<1,37
2011-08,1,49
2011-09,1,78
2011-10,1,73
2011-11,1,67
2011-12,1,57
2012-01,1,64
2012-02,1,68
2012-03,1,63
2012-04,2,63
2012-05,3,62
2012-06,<1,41
2012-07,<1,33
2012-08,1,45
2012-09,1,72
2012-10,1,68
2012-11,1,59
2012-12,1,52
2013-01,2,59
2013-02,1,63
2013-03,1,57
2013-04,3,64
2013-05,3,60
2013-06,<1,38
2013-07,<1,30
2013-08,1,42
2013-09,1,74
2013-10,1,73
2013-11,1,61
2013-12,1,52
2014-01,2,60
2014-02,2,65
2014-03,2,59
2014-04,3,65
2014-05,4,62
2014-06,1,41
2014-07,<1,31
2014-08,1,45
2014-09,2,80
2014-10,2,74
2014-11,1,64
2014-12,2,56
2015-01,2,64
2015-02,2,69
2015-03,2,64
2015-04,3,68
2015-05,3,62
2015-06,1,40
2015-07,1,29
2015-08,1,43
2015-09,2,79
2015-10,2,74
2015-11,2,65
2015-12,2,57
2016-01,2,57
2016-02,2,64
2016-03,2,56
2016-04,4,60
2016-05,3,55
2016-06,<1,33
2016-07,<1,23
2016-08,1,39
2016-09,2,67
2016-10,1,61
2016-11,1,53
2016-12,2,46
2017-01,2,54
2017-02,2,58
2017-03,2,54
2017-04,4,54
2017-05,4,52
2017-06,<1,30
2017-07,1,23
2017-08,1,36
2017-09,2,60
2017-10,2,61
2017-11,2,51
2017-12,2,44
2018-01,2,49
2018-02,2,52
2018-03,2,47
2018-04,3,50
2018-05,5,51
2018-06,1,28
2018-07,<1,21
2018-08,1,37
2018-09,2,58
2018-10,2,57
2018-11,1,46
2018-12,2,41
2019-01,2,45
2019-02,2,48
2019-03,2,43
2019-04,3,47
2019-05,4,47
2019-06,<1,26
2019-07,1,21
2019-08,1,34
2019-09,2,56
2019-10,2,52
2019-11,1,43
2019-12,1,37
2020-01,1,42
2020-02,2,45
2020-03,1,30
