Category: All categories

Month,AP Psychology: (United States),Psychology: (United States)
2004-01,<1,86
2004-02,<1,94
2004-03,<1,83
2004-04,1,93
2004-05,2,78
2004-06,<1,66
2004-07,<1,61
2004-08,<1,71
2004-09,<1,100
2004-10,<1,95
2004-11,<1,98
2004-12,<1,82
2005-01,1,83
2005-02,<1,86
2005-03,1,80
2005-04,1,86
2005-05,1,71
2005-06,<1,58
2005-07,<1,57
2005-08,<1,62
2005-09,<1,90
2005-10,<1,88
2005-11,<1,84
2005-12,<1,65
2006-01,<1,69
2006-02,1,77
2006-03,<1,68
2006-04,1,73
2006-05,2,63
2006-06,<1,52
2006-07,<1,47
2006-08,<1,55
2006-09,1,76
2006-10,<1,75
2006-11,<1,73
2006-12,<1,58
2007-01,1,65
2007-02,<1,63
2007-03,1,60
2007-04,1,62
2007-05,1,57
2007-06,<1,47
2007-07,<1,45
2007-08,<1,53
2007-09,<1,72
2007-10,1,72
2007-11,<1,68
2007-12,<1,55
2008-01,1,63
2008-02,<1,63
2008-03,<1,60
2008-04,1,64
2008-05,2,52
2008-06,<1,44
2008-07,<1,43
2008-08,<1,49
2008-09,1,75
2008-10,1,69
2008-11,<1,68
2008-12,1,57
2009-01,1,66
2009-02,1,69
2009-03,1,63
2009-04,1,66
2009-05,2,58
2009-06,<1,49
2009-07,<1,45
2009-08,<1,55
2009-09,1,79
2009-10,1,73
2009-11,1,73
2009-12,1,60
2010-01,1,69
2010-02,1,70
2010-03,1,66
2010-04,1,67
2010-05,2,60
2010-06,<1,46
2010-07,<1,42
2010-08,<1,51
2010-09,1,70
2010-10,1,66
2010-11,1,67
2010-12,1,55
2011-01,1,69
2011-02,1,68
2011-03,1,65
2011-04,2,69
2011-05,2,62
2011-06,<1,52
2011-07,<1,48
2011-08,1,58
2011-09,1,79
2011-10,1,73
2011-11,1,75
2011-12,1,58
2012-01,1,69
2012-02,1,71
2012-03,1,65
2012-04,2,68
2012-05,3,59
2012-06,<1,48
2012-07,<1,45
2012-08,1,57
2012-09,1,76
2012-10,1,71
2012-11,1,67
2012-12,1,55
2013-01,1,66
2013-02,2,67
2013-03,1,62
2013-04,3,69
2013-05,4,59
2013-06,<1,45
2013-07,<1,42
2013-08,1,55
2013-09,2,75
2013-10,2,73
2013-11,1,68
2013-12,2,55
2014-01,2,65
2014-02,2,69
2014-03,2,64
2014-04,4,68
2014-05,4,60
2014-06,<1,44
2014-07,<1,43
2014-08,1,55
2014-09,2,80
2014-10,2,74
2014-11,2,67
2014-12,2,57
2015-01,2,66
2015-02,2,68
2015-03,2,64
2015-04,4,70
2015-05,4,58
2015-06,<1,44
2015-07,<1,42
2015-08,1,55
2015-09,2,80
2015-10,3,74
2015-11,2,70
2015-12,2,57
2016-01,3,65
2016-02,3,70
2016-03,3,62
2016-04,5,71
2016-05,4,58
2016-06,<1,42
2016-07,<1,38
2016-08,1,55
2016-09,3,77
2016-10,3,69
2016-11,3,66
2016-12,2,57
2017-01,3,67
2017-02,3,71
2017-03,4,68
2017-04,6,71
2017-05,3,59
2017-06,<1,42
2017-07,<1,40
2017-08,1,54
2017-09,3,73
2017-10,3,74
2017-11,3,69
2017-12,3,56
2018-01,3,66
2018-02,3,68
2018-03,3,61
2018-04,5,65
2018-05,6,59
2018-06,1,41
2018-07,<1,40
2018-08,1,56
2018-09,3,75
2018-10,3,71
2018-11,3,63
2018-12,3,54
2019-01,3,64
2019-02,3,68
2019-03,3,61
2019-04,4,64
2019-05,6,57
2019-06,<1,41
2019-07,1,41
2019-08,1,57
2019-09,3,76
2019-10,3,72
2019-11,2,63
2019-12,2,54
2020-01,3,63
2020-02,3,68
2020-03,1,47
