Category: All categories

Month,AP Statistics: (United States),Statistics: (United States)
2004-01,<1,77
2004-02,<1,88
2004-03,<1,90
2004-04,1,100
2004-05,1,80
2004-06,<1,64
2004-07,<1,60
2004-08,<1,56
2004-09,<1,74
2004-10,<1,88
2004-11,<1,92
2004-12,<1,71
2005-01,<1,65
2005-02,<1,77
2005-03,<1,77
2005-04,1,90
2005-05,1,75
2005-06,<1,56
2005-07,<1,51
2005-08,<1,48
2005-09,<1,63
2005-10,<1,71
2005-11,<1,77
2005-12,<1,59
2006-01,<1,56
2006-02,<1,65
2006-03,<1,68
2006-04,1,73
2006-05,<1,63
2006-06,<1,45
2006-07,<1,39
2006-08,<1,39
2006-09,<1,51
2006-10,<1,61
2006-11,<1,62
2006-12,<1,48
2007-01,<1,47
2007-02,<1,51
2007-03,<1,52
2007-04,1,60
2007-05,1,51
2007-06,<1,39
2007-07,<1,37
2007-08,<1,36
2007-09,<1,47
2007-10,<1,55
2007-11,<1,56
2007-12,<1,43
2008-01,<1,41
2008-02,<1,46
2008-03,<1,47
2008-04,1,55
2008-05,1,42
2008-06,<1,34
2008-07,<1,31
2008-08,<1,30
2008-09,<1,43
2008-10,<1,49
2008-11,<1,52
2008-12,<1,42
2009-01,<1,39
2009-02,<1,49
2009-03,<1,49
2009-04,1,56
2009-05,1,45
2009-06,<1,35
2009-07,<1,33
2009-08,<1,33
2009-09,<1,45
2009-10,<1,51
2009-11,<1,56
2009-12,<1,45
2010-01,<1,41
2010-02,<1,48
2010-03,<1,52
2010-04,1,58
2010-05,1,45
2010-06,<1,33
2010-07,<1,27
2010-08,<1,27
2010-09,<1,36
2010-10,<1,41
2010-11,<1,44
2010-12,<1,34
2011-01,<1,36
2011-02,1,41
2011-03,1,42
2011-04,1,46
2011-05,1,38
2011-06,<1,29
2011-07,<1,26
2011-08,<1,26
2011-09,<1,36
2011-10,<1,40
2011-11,<1,42
2011-12,<1,33
2012-01,1,33
2012-02,1,38
2012-03,1,38
2012-04,1,41
2012-05,2,35
2012-06,<1,25
2012-07,<1,24
2012-08,<1,24
2012-09,<1,33
2012-10,1,35
2012-11,1,35
2012-12,1,31
2013-01,1,31
2013-02,1,34
2013-03,1,33
2013-04,2,38
2013-05,2,31
2013-06,<1,22
2013-07,<1,21
2013-08,<1,21
2013-09,1,30
2013-10,1,34
2013-11,1,34
2013-12,1,27
2014-01,1,27
2014-02,1,32
2014-03,1,32
2014-04,2,34
2014-05,2,30
2014-06,<1,22
2014-07,<1,20
2014-08,<1,22
2014-09,1,31
2014-10,1,34
2014-11,1,32
2014-12,1,28
2015-01,1,26
2015-02,1,30
2015-03,1,31
2015-04,2,35
2015-05,2,28
2015-06,<1,21
2015-07,<1,19
2015-08,<1,21
2015-09,1,30
2015-10,1,33
2015-11,1,32
2015-12,1,27
2016-01,1,24
2016-02,1,28
2016-03,1,27
2016-04,2,31
2016-05,2,25
2016-06,<1,19
2016-07,<1,20
2016-08,<1,18
2016-09,1,27
2016-10,1,27
2016-11,1,28
2016-12,1,21
2017-01,1,24
2017-02,1,29
2017-03,1,28
2017-04,2,28
2017-05,2,25
2017-06,<1,17
2017-07,<1,16
2017-08,<1,17
2017-09,1,24
2017-10,1,27
2017-11,1,26
2017-12,1,21
2018-01,1,22
2018-02,1,28
2018-03,1,26
2018-04,2,27
2018-05,2,24
2018-06,<1,17
2018-07,<1,15
2018-08,<1,17
2018-09,1,24
2018-10,1,25
2018-11,1,24
2018-12,1,19
2019-01,1,21
2019-02,1,24
2019-03,1,23
2019-04,1,24
2019-05,2,22
2019-06,<1,15
2019-07,<1,14
2019-08,<1,16
2019-09,1,22
2019-10,1,22
2019-11,1,20
2019-12,1,17
2020-01,1,19
2020-02,1,23
2020-03,1,21
