Category: All categories

Month,AP United States Government and Politics: (United States),United States Government: (United States)
2004-01,7,83
2004-02,8,85
2004-03,8,93
2004-04,16,86
2004-05,22,80
2004-06,3,63
2004-07,2,68
2004-08,6,52
2004-09,10,80
2004-10,17,100
2004-11,10,92
2004-12,12,69
2005-01,17,75
2005-02,7,75
2005-03,8,79
2005-04,18,66
2005-05,21,74
2005-06,3,63
2005-07,5,54
2005-08,6,40
2005-09,10,69
2005-10,7,67
2005-11,6,77
2005-12,10,62
2006-01,13,58
2006-02,6,68
2006-03,9,50
2006-04,12,63
2006-05,20,47
2006-06,1,43
2006-07,3,33
2006-08,6,32
2006-09,9,50
2006-10,5,58
2006-11,7,50
2006-12,6,42
2007-01,11,48
2007-02,8,45
2007-03,9,38
2007-04,10,41
2007-05,22,43
2007-06,2,31
2007-07,3,29
2007-08,6,29
2007-09,10,44
2007-10,9,50
2007-11,7,42
2007-12,8,39
2008-01,12,37
2008-02,8,45
2008-03,9,37
2008-04,19,46
2008-05,18,37
2008-06,2,29
2008-07,2,22
2008-08,4,26
2008-09,9,45
2008-10,8,50
2008-11,10,50
2008-12,7,38
2009-01,9,40
2009-02,10,49
2009-03,11,42
2009-04,20,38
2009-05,22,39
2009-06,3,30
2009-07,3,23
2009-08,5,30
2009-09,10,46
2009-10,9,46
2009-11,10,41
2009-12,9,33
2010-01,13,36
2010-02,11,41
2010-03,15,39
2010-04,22,46
2010-05,21,38
2010-06,2,28
2010-07,4,19
2010-08,5,20
2010-09,10,36
2010-10,9,36
2010-11,8,35
2010-12,8,30
2011-01,15,39
2011-02,12,42
2011-03,16,36
2011-04,22,46
2011-05,33,39
2011-06,2,24
2011-07,3,22
2011-08,5,23
2011-09,12,45
2011-10,13,45
2011-11,12,40
2011-12,11,34
2012-01,17,39
2012-02,15,39
2012-03,16,38
2012-04,19,40
2012-05,39,39
2012-06,3,25
2012-07,4,19
2012-08,7,22
2012-09,14,50
2012-10,15,46
2012-11,16,41
2012-12,17,33
2013-01,20,39
2013-02,19,43
2013-03,18,40
2013-04,29,43
2013-05,46,41
2013-06,3,22
2013-07,3,18
2013-08,10,23
2013-09,19,50
2013-10,21,65
2013-11,20,42
2013-12,21,37
2014-01,23,41
2014-02,26,49
2014-03,30,41
2014-04,40,48
2014-05,58,41
2014-06,5,25
2014-07,5,18
2014-08,11,22
2014-09,28,51
2014-10,33,54
2014-11,33,43
2014-12,33,35
2015-01,33,43
2015-02,35,44
2015-03,42,42
2015-04,56,45
2015-05,62,45
2015-06,6,26
2015-07,5,18
2015-08,13,26
2015-09,30,56
2015-10,41,60
2015-11,38,51
2015-12,39,42
2016-01,39,46
2016-02,44,53
2016-03,48,48
2016-04,62,49
2016-05,65,44
2016-06,6,24
2016-07,6,16
2016-08,16,23
2016-09,43,49
2016-10,45,50
2016-11,42,51
2016-12,46,43
2017-01,46,50
2017-02,48,58
2017-03,56,51
2017-04,71,49
2017-05,63,45
2017-06,7,23
2017-07,6,16
2017-08,16,24
2017-09,39,51
2017-10,50,54
2017-11,50,52
2017-12,47,43
2018-01,48,47
2018-02,50,56
2018-03,53,49
2018-04,67,52
2018-05,83,46
2018-06,8,26
2018-07,7,19
2018-08,18,28
2018-09,36,56
2018-10,45,59
2018-11,37,50
2018-12,41,47
2019-01,35,79
2019-02,43,55
2019-03,41,50
2019-04,60,52
2019-05,63,47
2019-06,6,25
2019-07,6,17
2019-08,16,26
2019-09,33,55
2019-10,40,54
2019-11,33,45
2019-12,32,40
2020-01,32,48
2020-02,37,54
2020-03,29,58
