Category: All categories

Month,AP United States History: (United States),US History: (United States)
2004-01,27,80
2004-02,27,91
2004-03,31,80
2004-04,38,100
2004-05,37,91
2004-06,7,63
2004-07,3,42
2004-08,12,51
2004-09,26,90
2004-10,29,81
2004-11,30,91
2004-12,24,71
2005-01,30,75
2005-02,30,80
2005-03,27,73
2005-04,40,90
2005-05,34,85
2005-06,6,55
2005-07,5,36
2005-08,9,42
2005-09,21,76
2005-10,18,69
2005-11,20,71
2005-12,17,53
2006-01,21,62
2006-02,18,65
2006-03,20,60
2006-04,27,69
2006-05,26,70
2006-06,5,47
2006-07,4,30
2006-08,9,35
2006-09,16,54
2006-10,18,56
2006-11,16,52
2006-12,15,43
2007-01,18,50
2007-02,15,47
2007-03,16,48
2007-04,19,51
2007-05,30,65
2007-06,4,41
2007-07,4,26
2007-08,6,32
2007-09,15,53
2007-10,16,51
2007-11,16,49
2007-12,15,42
2008-01,18,49
2008-02,16,50
2008-03,15,47
2008-04,22,56
2008-05,31,63
2008-06,5,44
2008-07,3,27
2008-08,7,34
2008-09,16,53
2008-10,15,56
2008-11,14,56
2008-12,13,44
2009-01,18,52
2009-02,17,52
2009-03,16,49
2009-04,22,55
2009-05,31,63
2009-06,5,48
2009-07,4,25
2009-08,8,33
2009-09,18,53
2009-10,19,53
2009-11,20,53
2009-12,15,45
2010-01,19,50
2010-02,17,51
2010-03,19,51
2010-04,24,62
2010-05,29,70
2010-06,4,47
2010-07,4,24
2010-08,7,30
2010-09,14,44
2010-10,15,43
2010-11,14,42
2010-12,13,37
2011-01,20,47
2011-02,19,45
2011-03,21,46
2011-04,28,55
2011-05,31,65
2011-06,5,45
2011-07,5,28
2011-08,9,39
2011-09,19,50
2011-10,21,48
2011-11,20,45
2011-12,16,38
2012-01,23,45
2012-02,22,45
2012-03,24,46
2012-04,26,50
2012-05,38,64
2012-06,5,42
2012-07,5,29
2012-08,11,37
2012-09,26,55
2012-10,27,51
2012-11,26,53
2012-12,25,46
2013-01,33,47
2013-02,36,46
2013-03,36,44
2013-04,44,54
2013-05,54,68
2013-06,8,41
2013-07,6,24
2013-08,16,35
2013-09,38,54
2013-10,45,56
2013-11,44,48
2013-12,42,42
2014-01,53,47
2014-02,58,48
2014-03,62,46
2014-04,71,53
2014-05,76,68
2014-06,14,49
2014-07,9,27
2014-08,20,37
2014-09,46,58
2014-10,52,55
2014-11,47,48
2014-12,46,45
2015-01,53,50
2015-02,62,50
2015-03,63,48
2015-04,72,55
2015-05,60,67
2015-06,14,47
2015-07,10,27
2015-08,23,38
2015-09,47,60
2015-10,53,55
2015-11,54,53
2015-12,48,46
2016-01,60,47
2016-02,67,48
2016-03,64,46
2016-04,83,55
2016-05,66,63
2016-06,12,47
2016-07,9,24
2016-08,24,39
2016-09,55,55
2016-10,57,53
2016-11,55,54
2016-12,52,46
2017-01,64,54
2017-02,68,54
2017-03,72,51
2017-04,82,55
2017-05,70,64
2017-06,11,37
2017-07,9,23
2017-08,24,40
2017-09,49,63
2017-10,56,66
2017-11,53,52
2017-12,48,48
2018-01,54,51
2018-02,63,57
2018-03,57,49
2018-04,68,56
2018-05,77,65
2018-06,10,39
2018-07,8,25
2018-08,24,40
2018-09,47,58
2018-10,52,59
2018-11,47,53
2018-12,45,47
2019-01,50,53
2019-02,55,52
2019-03,51,49
2019-04,62,52
2019-05,66,62
2019-06,8,38
2019-07,6,25
2019-08,20,39
2019-09,40,56
2019-10,40,51
2019-11,37,45
2019-12,33,42
2020-01,39,49
2020-02,42,49
2020-03,39,42
