Category: All categories

Month,AP World History: Modern: (United States),Modern World History: (United States)
2004-01,11,13
2004-02,6,6
2004-03,8,4
2004-04,9,5
2004-05,17,6
2004-06,4,4
2004-07,12,1
2004-08,3,5
2004-09,6,11
2004-10,6,6
2004-11,12,5
2004-12,2,6
2005-01,9,3
2005-02,10,6
2005-03,6,4
2005-04,17,3
2005-05,16,3
2005-06,5,0
2005-07,6,0
2005-08,6,4
2005-09,9,7
2005-10,13,6
2005-11,10,7
2005-12,9,2
2006-01,12,4
2006-02,10,1
2006-03,15,4
2006-04,20,1
2006-05,22,6
2006-06,4,5
2006-07,7,1
2006-08,7,2
2006-09,10,5
2006-10,9,7
2006-11,9,3
2006-12,8,1
2007-01,10,3
2007-02,9,2
2007-03,10,4
2007-04,16,4
2007-05,33,6
2007-06,4,1
2007-07,4,1
2007-08,8,3
2007-09,11,4
2007-10,10,5
2007-11,14,4
2007-12,11,2
2008-01,12,5
2008-02,19,6
2008-03,15,2
2008-04,20,3
2008-05,38,1
2008-06,7,2
2008-07,3,1
2008-08,9,3
2008-09,16,5
2008-10,21,5
2008-11,24,3
2008-12,17,4
2009-01,26,3
2009-02,25,3
2009-03,21,4
2009-04,29,2
2009-05,41,4
2009-06,6,3
2009-07,3,1
2009-08,9,2
2009-09,24,7
2009-10,26,4
2009-11,27,6
2009-12,21,4
2010-01,26,3
2010-02,25,5
2010-03,27,5
2010-04,32,6
2010-05,42,5
2010-06,8,2
2010-07,6,1
2010-08,13,2
2010-09,20,5
2010-10,21,4
2010-11,21,5
2010-12,21,4
2011-01,26,6
2011-02,33,4
2011-03,28,4
2011-04,33,3
2011-05,55,4
2011-06,8,2
2011-07,10,1
2011-08,17,3
2011-09,29,7
2011-10,26,5
2011-11,28,5
2011-12,24,3
2012-01,33,4
2012-02,31,6
2012-03,30,3
2012-04,37,4
2012-05,60,6
2012-06,10,3
2012-07,11,1
2012-08,15,3
2012-09,32,7
2012-10,29,5
2012-11,26,4
2012-12,25,4
2013-01,33,6
2013-02,32,5
2013-03,32,3
2013-04,44,4
2013-05,72,5
2013-06,8,3
2013-07,10,1
2013-08,19,4
2013-09,32,5
2013-10,37,5
2013-11,36,4
2013-12,35,4
2014-01,39,5
2014-02,44,5
2014-03,40,4
2014-04,50,6
2014-05,80,5
2014-06,9,3
2014-07,10,2
2014-08,20,5
2014-09,44,6
2014-10,41,4
2014-11,37,4
2014-12,38,3
2015-01,43,6
2015-02,46,6
2015-03,47,5
2015-04,57,5
2015-05,80,6
2015-06,11,2
2015-07,12,1
2015-08,23,3
2015-09,47,7
2015-10,46,6
2015-11,48,6
2015-12,42,6
2016-01,51,6
2016-02,53,6
2016-03,51,6
2016-04,69,6
2016-05,84,7
2016-06,11,3
2016-07,11,2
2016-08,29,5
2016-09,56,7
2016-10,47,7
2016-11,44,7
2016-12,44,6
2017-01,46,7
2017-02,50,6
2017-03,52,8
2017-04,60,5
2017-05,84,7
2017-06,10,3
2017-07,11,2
2017-08,31,4
2017-09,49,7
2017-10,51,6
2017-11,46,6
2017-12,43,5
2018-01,45,5
2018-02,50,6
2018-03,44,6
2018-04,58,7
2018-05,100,7
2018-06,12,3
2018-07,12,2
2018-08,31,4
2018-09,48,7
2018-10,48,5
2018-11,47,4
2018-12,43,4
2019-01,43,5
2019-02,49,5
2019-03,45,5
2019-04,56,6
2019-05,100,6
2019-06,11,3
2019-07,9,2
2019-08,22,5
2019-09,42,7
2019-10,42,6
2019-11,33,7
2019-12,29,5
2020-01,32,5
2020-02,40,7
2020-03,27,5
